geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
cod,"Congo, Dem. Rep.",279,260,246,229,211,205,203,177,170,180,174,173,170,164,158,152,143,128,118,112,98,92,77,72,60
cog,"Congo, Rep.",193,171,157,180,145,139,156,147,146,133,126,114,106,105,102,95,84,82,72,61,66,60,48,47,52
col,Colombia,6.6,6,5.4,5,4.5,3.9,3.7,4.1,4.3,3.9,3.3,3.1,4,4,3.5,3.4,3.5,3.1,3.4,3.4,3.8,4.3,5.1,5.5,5.6
com,Comoros,13,11,12,14,13,11,11,11,10,11,11,12,12,11,9.8,10,8.9,11,11,6.3,7.3,7.4,7.6,6.1,3.4
cpv,Cape Verde,20,17,12,14,12,9,11,11,11,11,11,12,9.6,6.8,6.7,7.1,6,6.6,6.6,7,7,5.6,4.7,6.3,5.7
cri,Costa Rica,2.4,2.3,2.2,2.2,2,2.3,2,1.4,1.7,1.1,1.5,1.6,1.5,1.1,1.2,0.91,0.89,0.95,1,0.97,1.1,1.1,1,0.94,0.91
cub,Cuba,0.63,0.44,0.42,0.47,0.39,0.38,0.51,0.45,0.72,0.34,0.43,0.55,0.56,0.58,0.55,0.59,0.52,0.56,0.43,0.46,0.44,0.55,0.45,0.78,0.9
cyp,Cyprus,0.41,0.49,0.35,0.51,0.51,0.58,0.33,0.11,0.31,0.21,0.22,0.41,0.5,0.15,0.45,0.26,0.27,0.29,0.45,0.26,0.22,0.22,0.52,0.46,0.45
cze,Czech Republic,1.2,0.95,0.85,0.83,0.71,0.7,0.62,0.7,0.53,0.51,0.39,0.54,0.3,0.64,0.38,0.55,0.41,0.36,0.37,0.22,0.24,0.35,0.22,0.4,0.38
deu,Germany,0.9,0.76,0.72,0.71,0.61,0.6,0.57,0.58,0.48,0.46,0.46,0.45,0.46,0.49,0.42,0.42,0.38,0.38,0.39,0.38,0.37,0.36,0.36,0.36,0.36
dji,Djibouti,1320,1240,845,781,658,651,564,468,485,443,499,411,361,305,197,202,168,122,115,103,99,107,127,131,136
dma,Dominica,3.3,1.7,2.3,3.2,1.7,1.6,2.1,5.9,6,4.1,3.8,3.4,4.6,4.8,3,4.4,3.1,3,3,3,2.8,2.8,2.8,2.8,2.8
dnk,Denmark,1.1,1,0.9,0.69,0.79,0.64,0.5,0.57,0.32,0.52,0.7,0.37,0.46,0.34,0.27,0.35,0.44,0.27,0.2,0.29,0.21,0.17,0.19,0.19,0.19
dom,Dominican Republic,34,26,21,22,19,12,17,14,13,8.1,11,9.7,9.3,9.1,8.3,7.7,7,6.3,5.7,4.8,6.9,6.4,4,4.1,4.1
dza,Algeria,27,25,24,24,23,23,21,20,17,17,16,14,13,12,11,11,10,10,10,8.6,7,7.6,7.4,7.3,7.1
ecu,Ecuador,16,13,12,11,9.7,9.5,9,8.9,7.9,6.8,6.3,5.9,5.4,5.2,5.1,4.7,4.7,5.1,4.6,4.7,4,4.9,6.3,5.1,5.7
egy,Egypt,1.5,1.5,1.4,1.5,1.2,1.2,1.1,1.1,1.1,0.89,0.74,0.88,0.7,0.36,0.34,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46
eri,Eritrea,615,220,196,288,228,175,132,144,118,91,80,83,82,65,52,42,44,39,35,33,29,29,35,39,30
esp,Spain,3.6,3,2.8,3,2,2,1.7,1.5,1.3,1.3,1.3,1,1,0.83,0.79,0.66,0.69,0.66,0.68,0.6,0.52,0.48,0.44,0.55,0.53
est,Estonia,10,11,11,12,9,5.5,7.2,7,5.8,5.1,4.1,4.8,4,2.9,2.8,2.3,2.7,2.1,1.3,1.6,0.95,1.3,1,0.96,1.1
eth,Ethiopia,189,168,141,124,109,100,94,84,71,61,53,47,44,46,44,32,31,29,25,23,22,19,19,22,16
fin,Finland,2.6,2,1.9,1.6,1.3,1.5,1.2,1.1,1.2,1,0.92,1.2,0.93,0.59,0.76,0.62,0.49,0.65,0.56,0.54,0.39,0.45,0.31,0.55,0.55
fji,Fiji,2.1,2,2.2,3.8,3.9,3.4,3,4.2,2.6,2.1,3.2,3.6,4.1,4.1,5,4.4,4.8,4.9,5.8,6.5,5.9,6.3,8.1,9.3,15
fra,France,2.3,2.2,2,2,1.7,1.7,1.4,1.3,1.3,1.2,1.2,1.1,0.99,1,0.85,0.8,0.77,0.77,0.67,0.67,0.56,0.54,0.47,0.77,0.76
fsm,"Micronesia, Fed. Sts.",88,97,115,93,100,81,79,98,107,89,91,81,78,79,99,54,71,62,45,44,44,33,22,96,64
gab,Gabon,101,100,121,122,107,128,121,101,99,165,154,147,141,140,133,131,130,129,111,112,118,110,82,73,75
gbr,UK,1.1,1,1.1,1.1,0.92,0.92,0.93,0.75,0.82,0.75,0.68,0.62,0.61,0.62,0.61,0.58,0.51,0.44,0.44,0.38,0.38,0.35,0.39,0.39,0.37
