geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
slb,Solomon Islands,94,87,74,82,92,104,86,83,72,62,51,55,46,42,37,41,36,31,32,28,24,27,24,24,31
sle,Sierra Leone,284,264,254,243,234,203,208,175,162,154,141,138,137,142,136,139,123,109,100,95,106,94,82,67,64
slv,El Salvador,4.5,3.6,3.4,3,2.9,3.7,2.6,3.5,2.9,2.6,2.7,2.3,2.6,2.4,2.5,2.1,2.2,1.9,2.8,2,1.8,1.8,2.2,2.4,2.2
smr,San Marino,0.11,,0.11,0.11,,,,,,,,,,,,,,,,,,,,,
som,Somalia,131,127,124,115,102,93,92,87,72,67,63,51,45,41,43,41,40,34,34,34,33,32,28,27,27
srb,Serbia,,,,,,3.5,2.8,3.1,2.4,2.3,2.3,2,2.1,1.9,1.6,1.2,1.4,1.3,1.2,0.75,0.76,0.64,0.81,1.1,0.4
ssd,South Sudan,,,,,,,,,,,,169,181,167,153,143,134,131,108,98,98,91,79,63,51
stp,Sao Tome and Principe,99,90,80,75,87,84,89,46,30,32,43,45,36,45,44,45,45,29,28,23,13,12,17,15,18
sur,Suriname,6.7,5.7,5.1,7.3,5.4,4.9,5,5,6.5,8.8,10,6.5,6,3.7,5.4,5.4,4.1,3.9,4,4.7,4,4.4,3.2,2.8,3.7
svk,Slovak Republic,1,1.1,1.2,1.3,0.97,0.89,0.88,0.66,0.79,0.8,0.66,0.49,0.32,0.38,0.64,0.64,0.48,0.53,0.5,0.3,0.42,0.34,0.56,0.54,0.53
svn,Slovenia,1.2,1.4,1.2,1.5,0.68,0.98,0.95,1.5,1.7,1.2,0.99,0.68,0.54,0.46,1,0.54,0.36,0.36,0.31,0.7,0.82,0.57,0.54,0.13,0.12
swe,Sweden,0.88,1.1,1.2,0.71,0.61,0.72,0.77,0.72,0.73,0.7,0.42,0.53,0.45,0.48,0.34,0.29,0.29,0.25,0.24,0.2,0.14,0.23,0.2,0.2,0.2
swz,Eswatini,335,348,385,444,463,499,517,499,493,562,558,445,374,343,284,213,175,162,134,91,86,88,85,82,78
syc,Seychelles,2.6,2.2,3.9,,,1.9,0.98,1,2,2.9,0.09,1.3,0.26,1.9,0.09,0.96,0.09,1.8,1.6,1,0.17,0.17,0.52,0.41,0.59
syr,Syria,0.51,0.53,0.45,0.4,0.29,0.37,0.34,0.25,0.27,0.26,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
tcd,Chad,40,39,38,42,42,39,43,48,49,47,46,46,48,46,42,43,44,38,32,30,30,27,24,21,19
tgo,Togo,16,20,24,26,26,26,26,31,26,25,25,22,20,19,18,15,13,12,12,10,11,10,7.4,7.8,8.2
tha,Thailand,75,63,57,51,46,42,34,32,31,27,25,23,24,24,23,23,20,19,17,17,16,17,18,16,16
tjk,Tajikistan,15,15,15,14,14,14,14,13,13,12,12,12,11,11,11,10,9.9,9.5,9.2,8.5,8.5,8.9,8.8,8.2,7.8
tkm,Turkmenistan,28,28,20,22,22,23,21,22,20,19,20,17,15,14,15,13,13,13,13,13,12,12,13,13,12
tls,Timor-Leste,,,365,324,277,252,239,232,210,133,121,111,113,98,84,78,57,55,43,36,67,77,28,22,79
ton,Tonga,0.7,0.35,0.84,0.46,0.34,0.51,0.51,0.65,0.36,0.22,0.31,0.25,0.31,0.28,0.37,0.4,0.23,0.31,0.26,0.28,0.23,0.26,0.06,0.23,0.06
tto,Trinidad and Tobago,8.8,7.3,5,4.7,4.5,3.8,3.4,3.8,3.6,4.2,3,3.4,3.2,2.9,3,2.2,2.5,2,2.3,2.3,2.3,1.9,2.2,2.8,2.8
tun,Tunisia,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
tur,Turkey,2.6,2.1,1.7,1.4,0.83,1.3,0.9,0.95,1.1,1.4,1.2,1.1,0.99,0.81,0.77,0.72,0.71,0.62,0.57,0.54,0.47,0.42,0.48,0.46,0.46
tuv,Tuvalu,5,5,4.1,9.6,5.2,3.6,2.7,5.3,4.9,5.2,4,3.3,5.2,4.9,4.1,5.5,5.5,6.3,7.5,8.5,8.7,6.5,7.8,4.9,6.7
tza,Tanzania,240,223,223,215,217,220,221,215,205,193,170,160,146,121,119,111,97,84,70,56,48,40,26,27,34
uga,Uganda,111,86,71,62,58,61,60,59,59,59,56,51,53,52,55,59,59,56,46,36,41,27,9.9,20,19
ukr,Ukraine,37,37,34,29,34,39,35,29,29,25,26,22,20,22,21,20,17,15,14,13,11,12,12,12,11
ury,Uruguay,4.2,4,3,3.6,4.5,3.1,2.4,3.6,2.7,3.3,2.6,2.6,2.6,3.1,3.5,3.9,3.1,3.1,3.3,3.6,3.4,3.6,3.6,6.7,6.6
usa,USA,0.82,0.74,0.67,0.58,0.51,0.45,0.4,0.34,0.33,0.29,0.28,0.25,0.23,0.23,0.2,0.19,0.2,0.19,0.2,0.19,0.21,0.2,0.21,0.19,0.19
uzb,Uzbekistan,24,24,25,23,20,19,14,13,12,15,13,13,11,9.7,9.4,9.6,8.1,7,5.3,4.1,3.5,2.2,2,2.1,2
vct,St. Vincent and the Grenadines,3.3,2,1.1,5.6,3.3,0.95,3,3.4,1.3,1.5,6.6,5.2,4.9,1,2.7,1.1,0.99,1,3,2,2.9,2.1,2,1.1,1.1
ven,Venezuela,9.3,8.8,7.7,7.5,6.7,5.7,4.9,4.4,3.9,3.3,3.4,3.3,3.3,3.3,3.2,3.1,4.1,3.4,3.5,3.4,3.5,3.6,3.3,3.2,3.3
vnm,Vietnam,47,44,39,39,35,36,34,30,27,30,28,26,23,22,21,18,16,15,13,12,12,12,14,13,12
vut,Vanuatu,147,116,114,95,77,74,51,47,49,40,41,39,33,30,29,21,24,16,14,11,11,12,9.1,6.8,8.3
wsm,Samoa,0.71,0.36,0.5,0.44,0.55,0.39,0.4,0.34,0.19,0.25,0.22,0.31,0.34,0.33,0.34,0.28,0.19,0.44,0.16,0.26,0.18,0.18,0.13,0.18,0.17
yem,Yemen,19,18,19,19,17,16,15,13,11,8.7,6.9,6.8,4.7,4.2,5.7,9,6.8,6.7,6.9,6.6,11,10,9.8,9.4,5.3
zaf,South Africa,317,376,358,398,400,440,427,422,392,371,221,214,161,137,124,116,112,106,103,99,96,93,90,88,85
zmb,Zambia,236,239,173,138,143,156,156,156,156,143,138,133,135,128,123,120,108,110,108,91,73,41,27,24,39
zwe,Zimbabwe,159,141,127,140,140,158,172,170,161,110,83,90,83,63,60,49,45,41,37,47,49,55,57,54,49
